FIPS,statecode,countycode,State,County,AGEGRP,TOT_POP,White,Black
6,1,1,Alabama,Autauga County,5,3294,2385,777
7,1,1,Alabama,Autauga County,6,3563,2669,778
8,1,1,Alabama,Autauga County,7,3463,2626,715
9,1,1,Alabama,Autauga County,8,3569,2666,764
10,1,1,Alabama,Autauga County,9,3808,2852,824
11,1,1,Alabama,Autauga County,10,3945,3132,695
12,1,1,Alabama,Autauga County,11,3971,3191,682
13,1,1,Alabama,Autauga County,12,3771,3032,665
14,1,1,Alabama,Autauga County,13,3080,2433,576
15,1,1,Alabama,Autauga County,14,2663,2201,405
16,1,1,Alabama,Autauga County,15,2132,1796,300
17,1,1,Alabama,Autauga County,16,1590,1347,201
18,1,1,Alabama,Autauga County,17,1050,909,120
19,1,1,Alabama,Autauga County,18,727,626,87
25,1,3,Alabama,Baldwin County,5,11105,8877,1566
26,1,3,Alabama,Baldwin County,6,11985,10109,1470
27,1,3,Alabama,Baldwin County,7,11810,10114,1306
28,1,3,Alabama,Baldwin County,8,12536,10754,1271
29,1,3,Alabama,Baldwin County,9,12678,11135,1129
30,1,3,Alabama,Baldwin County,10,13764,12215,1120
31,1,3,Alabama,Baldwin County,11,14448,12799,1251
32,1,3,Alabama,Baldwin County,12,15020,13313,1339
33,1,3,Alabama,Baldwin County,13,14386,13027,1043
34,1,3,Alabama,Baldwin County,14,14118,13060,815
35,1,3,Alabama,Baldwin County,15,10765,10037,511
36,1,3,Alabama,Baldwin County,16,7411,6956,360
37,1,3,Alabama,Baldwin County,17,4694,4435,186
38,1,3,Alabama,Baldwin County,18,4116,3862,219
44,1,5,Alabama,Barbour County,5,1664,631,985
45,1,5,Alabama,Barbour County,6,1853,756,1056
46,1,5,Alabama,Barbour County,7,1841,784,996
47,1,5,Alabama,Barbour County,8,1617,738,836
48,1,5,Alabama,Barbour County,9,1603,833,746
49,1,5,Alabama,Barbour County,10,1658,839,786
50,1,5,Alabama,Barbour County,11,1784,933,816
51,1,5,Alabama,Barbour County,12,1646,895,715
52,1,5,Alabama,Barbour County,13,1646,940,682
53,1,5,Alabama,Barbour County,14,1608,955,622
54,1,5,Alabama,Barbour County,15,1220,818,390
55,1,5,Alabama,Barbour County,16,820,570,245
56,1,5,Alabama,Barbour County,17,567,388,175
57,1,5,Alabama,Barbour County,18,463,304,147
63,1,7,Alabama,Bibb County,5,1382,931,427
64,1,7,Alabama,Bibb County,6,1758,1173,555
65,1,7,Alabama,Bibb County,7,1629,1106,504
66,1,7,Alabama,Bibb County,8,1520,1095,407
67,1,7,Alabama,Bibb County,9,1542,1185,344
68,1,7,Alabama,Bibb County,10,1662,1269,362
69,1,7,Alabama,Bibb County,11,1705,1324,360
70,1,7,Alabama,Bibb County,12,1476,1194,261
71,1,7,Alabama,Bibb County,13,1335,1083,231
72,1,7,Alabama,Bibb County,14,1219,1041,167
73,1,7,Alabama,Bibb County,15,868,761,98
74,1,7,Alabama,Bibb County,16,674,593,71
75,1,7,Alabama,Bibb County,17,411,345,61
76,1,7,Alabama,Bibb County,18,322,257,57
82,1,9,Alabama,Blount County,5,3231,3090,53
83,1,9,Alabama,Blount County,6,3425,3294,64
84,1,9,Alabama,Blount County,7,3323,3207,55
85,1,9,Alabama,Blount County,8,3542,3401,65
86,1,9,Alabama,Blount County,9,3636,3514,53
87,1,9,Alabama,Blount County,10,4009,3878,64
88,1,9,Alabama,Blount County,11,4003,3871,51
89,1,9,Alabama,Blount County,12,3873,3748,50
90,1,9,Alabama,Blount County,13,3677,3550,56
91,1,9,Alabama,Blount County,14,3517,3398,53
92,1,9,Alabama,Blount County,15,2734,2651,36
93,1,9,Alabama,Blount County,16,1900,1848,19
94,1,9,Alabama,Blount County,17,1259,1222,17
95,1,9,Alabama,Blount County,18,969,938,16
101,1,11,Alabama,Bullock County,5,658,117,529
102,1,11,Alabama,Bullock County,6,737,161,544
103,1,11,Alabama,Bullock County,7,780,207,533
104,1,11,Alabama,Bullock County,8,663,182,444
105,1,11,Alabama,Bullock County,9,669,234,422
106,1,11,Alabama,Bullock County,10,646,207,428
107,1,11,Alabama,Bullock County,11,710,159,542
108,1,11,Alabama,Bullock County,12,737,191,535
109,1,11,Alabama,Bullock County,13,650,193,452
110,1,11,Alabama,Bullock County,14,563,162,389
111,1,11,Alabama,Bullock County,15,401,152,241
112,1,11,Alabama,Bullock County,16,312,123,189
113,1,11,Alabama,Bullock County,17,211,92,118
114,1,11,Alabama,Bullock County,18,197,59,137
120,1,13,Alabama,Butler County,5,1174,509,637
121,1,13,Alabama,Butler County,6,1175,546,600
122,1,13,Alabama,Butler County,7,1150,537,585
123,1,13,Alabama,Butler County,8,1221,569,604
124,1,13,Alabama,Butler County,9,1101,582,498
