FIPS,State,County,less than a high school diploma,high school diploma only,some college or associate's degree,bachelor's degree or higher
1001,alabama,Autauga,11.5,33.6,28.4,26.6
1003,alabama,Baldwin,9.2,27.7,31.3,31.9
1005,alabama,Barbour,26.8,35.6,26,11.6
1007,alabama,Bibb,20.9,44.9,23.8,10.4
1009,alabama,Blount,19.5,33.4,34,13.1
1011,alabama,Bullock,25.3,40.3,22.3,12.1
1013,alabama,Butler,15,45.2,23.7,16.1
1015,alabama,Calhoun,15.6,32.8,33.2,18.5
1017,alabama,Chambers,18.4,36.7,31.6,13.3
1019,alabama,Cherokee,18.4,40.3,28.6,12.8
1021,alabama,Chilton,18.2,44.4,24.6,12.7
1023,alabama,Choctaw,18.6,37.7,31.8,11.9
1025,alabama,Clarke,19.4,41.8,26.6,12.2
1027,alabama,Clay,23.3,37.8,28.3,10.6
1029,alabama,Cleburne,21,38,25.6,15.4
1031,alabama,Coffee,14.1,27.2,35.9,22.8
1033,alabama,Colbert,14.8,37.8,29.2,18.1
1035,alabama,Conecuh,15.7,51.1,20.4,12.8
1037,alabama,Coosa,20,40.3,26.9,12.8
1039,alabama,Covington,16.6,37.3,30.8,15.3
1041,alabama,Crenshaw,20.8,39.5,22.3,17.4
1043,alabama,Cullman,18.4,34.1,33.6,13.9
1045,alabama,Dale,13.9,32.3,35.7,18.1
1047,alabama,Dallas,18.2,35.9,31.2,14.7
1049,alabama,DeKalb,25.2,34.2,27.6,13
1051,alabama,Elmore,13.4,32.5,29.1,25.1
1053,alabama,Escambia,18.9,43.7,24.9,12.5
1055,alabama,Etowah,15.4,32.9,33.9,17.8
1057,alabama,Fayette,17.4,41.3,28.9,12.4
1059,alabama,Franklin,22.8,36.6,26.6,14
1061,alabama,Geneva,19.7,36,31.8,12.5
1063,alabama,Greene,20.8,38.6,30.5,10.1
1065,alabama,Hale,16,43.4,26.4,14.2
1067,alabama,Henry,20.6,32.6,29.8,17.1
1069,alabama,Houston,14,31.2,33.1,21.7
1071,alabama,Jackson,16.8,41,28.2,14
1073,alabama,Jefferson,9.9,26.4,30.3,33.4
1075,alabama,Lamar,17.7,39.8,30.6,11.9
