FIPS,State,County,Estimate,Percent
1001,alabama,Autauga,7444,13.5
1003,alabama,Baldwin,24005,11.7
1005,alabama,Barbour,6787,29.9
1007,alabama,Bibb,4099,20.1
1009,alabama,Blount,8033,14.1
1011,alabama,Bullock,2841,32.6
1013,alabama,Butler,4880,24.8
1015,alabama,Calhoun,19057,17.1
1017,alabama,Chambers,6656,19.9
1019,alabama,Cherokee,4273,16.8
1021,alabama,Chilton,7960,18.3
1023,alabama,Choctaw,2910,22.7
1025,alabama,Clarke,6977,29
1027,alabama,Clay,2495,18.9
1029,alabama,Cleburne,2527,17.2
1031,alabama,Coffee,7271,14.4
1033,alabama,Colbert,8982,16.7
1035,alabama,Conecuh,3464,28.1
1037,alabama,Coosa,1801,17.5
1039,alabama,Covington,7228,19.6
1041,alabama,Crenshaw,2822,20.5
1043,alabama,Cullman,12133,14.9
1045,alabama,Dale,9936,20.6
1047,alabama,Dallas,13987,35.4
1049,alabama,DeKalb,14362,20.5
1051,alabama,Elmore,10316,13.5
1053,alabama,Escambia,8020,23.3
1055,alabama,Etowah,17624,17.5
1057,alabama,Fayette,3307,20.3
1059,alabama,Franklin,6272,20.1
1061,alabama,Geneva,5495,20.9
1063,alabama,Greene,2845,34
1065,alabama,Hale,3495,23.7
1067,alabama,Henry,3159,18.7
1069,alabama,Houston,19878,19.4
1071,alabama,Jackson,9007,17.5
1073,alabama,Jefferson,98463,15.3
1075,alabama,Lamar,2545,18.6
1077,alabama,Lauderdale,13739,15.2
1079,alabama,Lawrence,5530,16.8
1081,alabama,Lee,28139,18.3
1083,alabama,Limestone,11511,12.8
1085,alabama,Lowndes,3252,31.7
1087,alabama,Macon,5183,30
1089,alabama,Madison,47081,13.5
1091,alabama,Marengo,5003,25.8
1093,alabama,Marion,5386,18.5
1095,alabama,Marshall,19703,21
1097,alabama,Mobile,79364,19.5
1099,alabama,Monroe,5472,25.7
1101,alabama,Montgomery,40760,18.8
1103,alabama,Morgan,18457,15.8
1105,alabama,Perry,3066,35
1107,alabama,Pickens,4756,25.8
1109,alabama,Pike,7793,25.1
1111,alabama,Randolph,4839,21.8
1113,alabama,Russell,11108,19.3
1115,alabama,St. Clair,10352,12
1117,alabama,Shelby,16406,7.9
1119,alabama,Sumter,3933,32.4
1121,alabama,Talladega,13864,18
1123,alabama,Tallapoosa,8111,20.2
1125,alabama,Tuscaloosa,34384,17.6
1127,alabama,Walker,13097,20.5
1129,alabama,Washington,3018,18.2
1131,alabama,Wilcox,3466,31.9
1133,alabama,Winston,4061,17.3
2013,alaska,Aleutians East Borough,487,14.8
2016,alaska,Aleutians West Census Area,438,8
2020,alaska,Anchorage Borough,21108,7.2
2050,alaska,Bethel Census Area,4502,25.5
2060,alaska,Bristol Bay Borough,100,11.4
2068,alaska,Denali Borough,121,6.3
2070,alaska,Dillingham Census Area,965,19.6
2090,alaska,Fairbanks North Star Borough,8144,8.5
2100,alaska,Haines Borough,257,10.3
2105,alaska,Hoonah-Angoon Census Area,397,19.1
2110,alaska,Juneau Borough,2334,7.4
2122,alaska,Kenai Peninsula Borough,6835,12
2130,alaska,Ketchikan Gateway Borough,1245,9.2
2150,alaska,Kodiak Island Borough,991,7.3
2158,alaska,Kusilvak Census Area,3033,37.8
2164,alaska,Lake and Peninsula Borough,325,20.9
2170,alaska,Matanuska-Susitna Borough,9641,9.5
2180,alaska,Nome Census Area,2337,24
2185,alaska,North Slope Borough,1132,11.9
2188,alaska,Northwest Arctic Borough,2114,27.8
2195,alaska,Petersburg Borough,265,8.4
2198,alaska,Prince of Wales-Hyder Census Area,1109,17.5
2220,alaska,Sitka Borough,690,7.9
2230,alaska,Skagway Municipality,48,4.4
2240,alaska,Southeast Fairbanks Census Area,804,11.8
2261,alaska,Valdez-Cordova Census Area,852,9.2
2275,alaska,Wrangell City and Borough,274,11.5
2282,alaska,Yakutat Borough,101,16.8
2290,alaska,Yukon-Koyukuk Census Area,1266,23
4001,arizona,Apache,23966,33.2
4003,arizona,Cochise,25424,21.1
4005,arizona,Coconino,23116,17.8
4007,arizona,Gila,10678,20.3
4009,arizona,Graham,7854,22.9
4011,arizona,Greenlee,1144,12
4012,arizona,La Paz,4976,24.8
4013,arizona,Maricopa,624923,15
4015,arizona,Mohave,36665,18.3
4017,arizona,Navajo,30379,28.2
4019,arizona,Pima,180513,18.2
4021,arizona,Pinal,60679,15.4
4023,arizona,Santa Cruz,9569,20.9
4025,arizona,Yavapai,29418,13.3
4027,arizona,Yuma,37850,19.3
5001,arkansas,Arkansas,3237,18.1
5003,arkansas,Ashley,3636,17.9
5005,arkansas,Baxter,5144,12.7
5007,arkansas,Benton,23131,9.1
5009,arkansas,Boone,5670,15.4
5011,arkansas,Bradley,2544,23.5
5013,arkansas,Calhoun,847,17.1
5015,arkansas,Carroll,4684,17.2
5017,arkansas,Chicot,3066,30.1
5019,arkansas,Clark,4406,22.3
5021,arkansas,Clay,2807,19.1
5023,arkansas,Cleburne,4047,16.3
5025,arkansas,Cleveland,1295,15.8
5027,arkansas,Columbia,5330,24.2
5029,arkansas,Conway,3903,18.9
5031,arkansas,Craighead,16548,16.2
5033,arkansas,Crawford,10322,16.8
5035,arkansas,Crittenden,12314,25.5
5037,arkansas,Cross,3252,19.4
5039,arkansas,Dallas,1464,20.8
5041,arkansas,Desha,3125,26.5
5043,arkansas,Drew,3387,19.2
5045,arkansas,Faulkner,18782,16
5047,arkansas,Franklin,3103,17.9
5049,arkansas,Fulton,2767,23.2
5051,arkansas,Garland,17037,17.8
5053,arkansas,Grant,2062,11.5
5055,arkansas,Greene,6709,15.3
5057,arkansas,Hempstead,4483,20.7
5059,arkansas,Hot Spring,4541,14.7
5061,arkansas,Howard,2455,18.7
5063,arkansas,Independence,5727,15.9
5065,arkansas,Izard,2492,20.1
5067,arkansas,Jackson,3587,24.1
5069,arkansas,Jefferson,15094,23.3
5071,arkansas,Johnson,4699,18.4
5073,arkansas,Lafayette,1838,27.4
5075,arkansas,Lawrence,3207,20
5077,arkansas,Lee,2701,35.9
5079,arkansas,Lincoln,2726,27.6
5081,arkansas,Little River,2148,17.5
5083,arkansas,Logan,3867,18.2
5085,arkansas,Lonoke,8881,12.4
5087,arkansas,Madison,2910,18.3
5089,arkansas,Marion,3342,20.7
