year,FIPS,State,County,Unemployment_Rate
2016,1001,alabama,Autauga,5.1
2016,1003,alabama,Baldwin,5.3
2016,1005,alabama,Barbour,8.3
2016,1007,alabama,Bibb,6.4
2016,1009,alabama,Blount,5.4
2016,1011,alabama,Bullock,6.8
2016,1013,alabama,Butler,6.9
2016,1015,alabama,Calhoun,6.5
2016,1017,alabama,Chambers,5.4
2016,1019,alabama,Cherokee,5
2016,1021,alabama,Chilton,5.5
2016,1023,alabama,Choctaw,8.5
2016,1025,alabama,Clarke,10.8
2016,1027,alabama,Clay,5.9
2016,1029,alabama,Cleburne,6
2016,1031,alabama,Coffee,5.8
2016,1033,alabama,Colbert,6.9
2016,1035,alabama,Conecuh,8.4
2016,1037,alabama,Coosa,6
2016,1039,alabama,Covington,6.7
2016,1041,alabama,Crenshaw,5.8
2016,1043,alabama,Cullman,5
2016,1045,alabama,Dale,5.8
2016,1047,alabama,Dallas,9.2
2016,1049,alabama,DeKalb,6
2016,1051,alabama,Elmore,4.7
2016,1053,alabama,Escambia,6.6
2016,1055,alabama,Etowah,5.9
2016,1057,alabama,Fayette,6.7
2016,1059,alabama,Franklin,5.9
2016,1061,alabama,Geneva,5.8
2016,1063,alabama,Greene,9.9
2016,1065,alabama,Hale,7.6
2016,1067,alabama,Henry,6.5
2016,1069,alabama,Houston,5.8
2016,1071,alabama,Jackson,6.3
2016,1073,alabama,Jefferson,5.7
2016,1075,alabama,Lamar,5.6
2016,1077,alabama,Lauderdale,6.3
2016,1079,alabama,Lawrence,6.9
2016,1081,alabama,Lee,5.2
2016,1083,alabama,Limestone,5.2
2016,1085,alabama,Lowndes,10.5
2016,1087,alabama,Macon,7.6
2016,1089,alabama,Madison,5.1
2016,1091,alabama,Marengo,7.1
2016,1093,alabama,Marion,6.6
2016,1095,alabama,Marshall,5.3
2016,1097,alabama,Mobile,6.6
2016,1099,alabama,Monroe,9
2016,1101,alabama,Montgomery,5.6
2016,1103,alabama,Morgan,5.5
2016,1105,alabama,Perry,10.3
2016,1107,alabama,Pickens,6.8
2016,1109,alabama,Pike,6.5
2016,1111,alabama,Randolph,5.6
2016,1113,alabama,Russell,5.5
